Scale	Dataset	Language	0	1	2	3	4	5	6	7
small-largeXX.rankings	wilkinson	EN	big	large	huge	enormous	gigantic			
small-largeXX.rankings	wilkinson	FR	grand	large	immense	énorme	gigantesque			
small-largeXX.rankings	wilkinson	EL	μεγάλος	ευρύς	τεράστιος	πελώριος	γιγάντιος			
small-largeXX.rankings	wilkinson	ES	grande	grandísimo	enorme	gigantesco	inmenso			
beautiful-uglyXX.rankings	wilkinson	EN	ugly	hideous						
beautiful-uglyXX.rankings	wilkinson	FR	moche	hideux						
beautiful-uglyXX.rankings	wilkinson	EL	άσχημος	φρικτός						
beautiful-uglyXX.rankings	wilkinson	ES	feo	horrible						
XXgood-bad.rankings	wilkinson	EN	good	great	wonderful	awesome				
XXgood-bad.rankings	wilkinson	FR	bon	génial	merveilleux	impressionnant				
XXgood-bad.rankings	wilkinson	EL	καλός	σπουδαίος	υπέροχος	καταπληκτικός				
XXgood-bad.rankings	wilkinson	ES	bueno	genial	fantástico	impresionante				
few-manyXX.rankings	wilkinson	EN	few	some	several	many				
few-manyXX.rankings	wilkinson	FR	quelques-uns	certains	nombreux	beaucoup de				
few-manyXX.rankings	wilkinson	EL	λίγοι	κάποιοι	μερικοί	πολλοί				
few-manyXX.rankings	wilkinson	ES	pocos	algunos	varios	muchos				
XXbright-dark.rankings	wilkinson	EN	light	bright						
XXbright-dark.rankings	wilkinson	FR	lumineux	brillant						
XXbright-dark.rankings	wilkinson	EL	φωτεινός	λαμπερός 						
XXbright-dark.rankings	wilkinson	ES	luminoso	brillante						
smart-stupidXX.rankings	wilkinson	EN	dumb	stupid	idiotic					
smart-stupidXX.rankings	wilkinson	FR	idiot	stupide	bête					
smart-stupidXX.rankings	wilkinson	EL	ηλίθιος	χαζός	βλακώδης					
smart-stupidXX.rankings	wilkinson	ES	tonto	estúpido	idiota					
XXhot-cold.rankings	wilkinson	EN	warm	hot						
XXhot-cold.rankings	wilkinson	FR	chaleureux	chaud						
XXhot-cold.rankings	wilkinson	EL	θερμός	ζεστός						
XXhot-cold.rankings	wilkinson	ES	tibio	caliente						
XXsmall-large.rankings	wilkinson	EN	small	tiny	miniscule					
XXsmall-large.rankings	wilkinson	FR	petit	infime	minuscule					
XXsmall-large.rankings	wilkinson	EL	μικρός	μικρούλης	μικροσκοπικός					
XXsmall-large.rankings	wilkinson	ES	pequeño	minúsculo	diminuto					
new-oldXX.rankings	wilkinson	EN	old	ancient						
new-oldXX.rankings	wilkinson	FR	vieux	ancien						
new-oldXX.rankings	wilkinson	EL	παλιός	αρχαίος						
new-oldXX.rankings	wilkinson	ES	viejo	antiguo						
bright-darkXX.rankings	wilkinson	EN	dim	dark						
bright-darkXX.rankings	wilkinson	FR	sombre	foncé						
bright-darkXX.rankings	wilkinson	EL	σκούρος	σκοτεινός						
bright-darkXX.rankings	wilkinson	ES	sombrío	oscuro						
different-sameXX.rankings	wilkinson	EN	similar	alike	same					
different-sameXX.rankings	wilkinson	FR	semblable	pareil	même					
different-sameXX.rankings	wilkinson	EL	όμοιος	παρόμοιος	ίδιος					
different-sameXX.rankings	wilkinson	ES	parecido	igual	idéntico					
XXnew-old.rankings	wilkinson	EN	fresh	new						
XXnew-old.rankings	wilkinson	FR	frais	nouveau						
XXnew-old.rankings	wilkinson	EL	φρέσκος	καινούριος						
XXnew-old.rankings	wilkinson	ES	fresco	nuevo						
XXsmart-stupid.rankings	wilkinson	EN	smart	intelligent						
XXsmart-stupid.rankings	wilkinson	FR	malin	intelligent						
XXsmart-stupid.rankings	wilkinson	EL	έξυπνος	ευφυής						
XXsmart-stupid.rankings	wilkinson	ES	listo	inteligente						
difficult-easyXX.rankings	wilkinson	EN	easy	simple						
difficult-easyXX.rankings	wilkinson	FR	facile	simple						
difficult-easyXX.rankings	wilkinson	EL	εύκολος	απλός						
difficult-easyXX.rankings	wilkinson	ES	fácil	simple						
hot-coldXX.rankings	wilkinson	EN	warm	cold	freezing					
hot-coldXX.rankings	wilkinson	FR	chaud	froid	glacial					
hot-coldXX.rankings	wilkinson	EL	θερμός	κρύος	παγωμένος					
